"carat","cut","color","clarity","depth","table","price","x","y","z"
1.51,"Premium","D","SI1",61.6,57,12738,7.41,7.32,4.54
0.41,"Ideal","F","VVS2",60.1,57,1115,4.83,4.85,2.91
2.42,"Premium","J","SI2",62.3,58,16198,8.63,8.55,5.35
1.57,"Premium","H","VS1",61.7,58,10880,7.47,7.56,4.64
0.32,"Ideal","F","VS2",61.2,56,828,4.44,4.41,2.71
0.32,"Ideal","F","VS1",61.6,57,716,4.39,4.42,2.71
1.05,"Good","D","SI2",60,63,4560,6.59,6.64,3.97
0.55,"Very Good","F","VS2",61.6,56.1,1777,5.29,5.31,3.27
2.18,"Very Good","E","I1",62,60,10340,8.25,8.33,5.14
0.43,"Premium","D","VS2",60.7,58,1056,4.84,4.88,2.95
0.57,"Ideal","F","VVS2",61.7,56,2402,5.31,5.35,3.29
1.59,"Ideal","I","SI1",62.1,57,8835,7.48,7.46,4.64
1.29,"Ideal","I","VS2",62.7,57,6509,6.97,6.91,4.35
1.21,"Ideal","H","SI1",60.7,57,7810,6.85,6.89,4.17
1.06,"Ideal","H","SI2",59.9,58,4749,6.67,6.63,3.98
0.34,"Very Good","D","SI1",62.8,55,626,4.45,4.5,2.81
0.34,"Premium","D","SI2",59.2,59,507,4.54,4.58,2.7
1.01,"Good","D","SI1",63.9,60,5055,6.29,6.32,4.03
0.71,"Premium","F","SI1",59.8,61,2633,5.81,5.79,3.47
1.02,"Ideal","H","SI2",60.5,57,4297,6.52,6.56,3.95
0.68,"Ideal","D","VVS1",61.3,57,4325,5.66,5.69,3.48
0.41,"Good","E","VVS1",63.5,57,1002,4.73,4.75,3.01
0.5,"Premium","D","VS2",61.4,59,1752,5.11,5.15,3.15
0.41,"Ideal","D","SI1",61.4,56,791,4.77,4.8,2.94
1,"Very Good","E","VVS2",59.5,59,9139,6.54,6.58,3.9
0.31,"Premium","F","VS2",61.8,59,802,4.33,4.31,2.67
0.3,"Ideal","D","SI1",61.8,56,508,4.31,4.33,2.67
0.44,"Very Good","E","VVS2",59.6,59,1337,4.98,4.99,2.97
0.8,"Ideal","D","SI2",61.9,54,3210,5.95,6,3.7
1.18,"Ideal","E","I1",61.6,56,4229,6.82,6.79,4.19
0.31,"Ideal","H","VVS2",62.8,57,802,4.33,4.3,2.71
0.55,"Ideal","F","SI2",61.2,56,1263,5.29,5.23,3.22
1.02,"Ideal","H","SI2",61.9,56,4353,6.47,6.51,4.02
1.55,"Very Good","G","SI1",59.2,59,10707,7.51,7.59,4.47
1,"Ideal","H","SI2",61.4,60,4713,6.35,6.41,3.92
0.36,"Premium","E","VS2",62,58,789,4.54,4.56,2.82
1,"Ideal","E","VS2",62,55,6043,6.42,6.38,3.97
0.31,"Very Good","F","SI1",60.7,58,516,4.35,4.38,2.65
1.71,"Ideal","G","VS1",62.2,55,17595,7.72,7.65,4.78
0.51,"Ideal","G","VVS2",61.1,56,1875,5.15,5.19,3.16
0.42,"Ideal","E","VVS2",62.3,55,1216,4.76,4.81,2.98
0.41,"Premium","E","SI1",60.4,58,930,4.79,4.75,2.88
0.43,"Ideal","J","VVS2",61.8,55,710,4.89,4.91,3.03
1.06,"Ideal","F","VVS2",62.1,57,9118,6.54,6.5,4.05
1.21,"Ideal","E","IF",61.8,56,17353,6.81,6.88,4.23
0.4,"Premium","G","VVS2",61.3,59,980,4.78,4.74,2.92
1.01,"Premium","D","SI1",62,60,6066,6.37,6.4,3.96
0.31,"Very Good","G","VVS2",62.7,55,627,4.32,4.35,2.72
0.46,"Very Good","F","VVS1",61.4,57,1657,4.95,4.99,3.05
0.7,"Fair","F","SI2",58.2,66,1920,5.77,5.74,3.35
1.01,"Premium","G","VS1",60.5,60,6353,6.52,6.44,3.92
0.74,"Very Good","J","VS2",60.8,58,2003,5.79,5.85,3.54
0.31,"Ideal","F","IF",61.4,56,1061,4.38,4.41,2.7
1.13,"Ideal","E","VVS1",61.8,57,13485,6.66,6.71,4.13
0.54,"Very Good","E","SI1",62.1,59,1379,5.17,5.2,3.22
0.71,"Ideal","F","VS1",61.5,57,2839,5.74,5.71,3.52
1.7,"Premium","I","VVS2",62.1,59,11775,7.6,7.53,4.7
0.52,"Ideal","H","VVS1",61.7,55,1847,5.2,5.17,3.2
0.5,"Fair","D","SI1",65.7,56,1323,5.01,4.97,3.28
1.51,"Premium","E","SI1",62.8,59,11565,7.3,7.26,4.57
0.37,"Very Good","G","VS1",58.4,59,657,4.76,4.69,2.76
0.52,"Ideal","G","SI2",61.6,55,1090,5.16,5.19,3.19
1,"Premium","F","SI2",60.4,58,3858,6.47,6.44,3.9
1,"Premium","F","SI2",62.4,61,4155,6.34,6.32,3.95
0.66,"Ideal","H","SI1",62.4,58,1609,5.53,5.56,3.46
1.23,"Ideal","D","VVS1",62.4,57,16253,6.88,6.83,4.28
1.51,"Ideal","H","SI1",61.3,56,9833,7.4,7.44,4.55
0.34,"Premium","H","VVS1",61.1,59,995,4.52,4.48,2.75
0.31,"Very Good","H","VVS1",58.5,59,755,4.45,4.5,2.62
0.76,"Very Good","G","VVS2",61.5,59,3394,5.83,5.91,3.61
0.75,"Premium","G","SI2",63,58,2250,5.81,5.77,3.62
2.11,"Ideal","H","SI2",61.5,57,12179,8.3,8.25,5.09
1.09,"Premium","H","SI2",61.2,62,4395,6.63,6.58,4.04
2,"Good","J","I1",63.6,62,6521,7.97,7.8,5.02
0.4,"Good","G","SI1",63.3,58,655,4.66,4.69,2.96
0.9,"Very Good","E","SI2",63.7,56,3482,6.08,6.13,3.89
1.05,"Very Good","H","SI1",63.1,60,4692,6.49,6.42,4.07
0.6,"Ideal","E","SI1",61.3,56,1890,5.49,5.44,3.35
0.37,"Premium","F","SI1",61.6,59,616,4.62,4.67,2.86
0.5,"Fair","E","VS2",79,73,2579,5.21,5.18,4.09
0.5,"Good","E","VS2",63.8,54,1752,5.05,5.07,3.23
0.51,"Ideal","H","SI2",61.7,55,1435,5.13,5.15,3.17
0.41,"Very Good","F","VS2",62.4,56,863,4.75,4.77,2.97
1.2,"Ideal","D","SI1",61.8,58,7508,6.76,6.83,4.2
0.7,"Very Good","H","VS2",63.2,57,2137,5.58,5.62,3.54
0.7,"Good","F","SI2",59,57,2100,5.8,5.83,3.43
0.43,"Very Good","F","VS2",61.3,59,905,4.81,4.84,2.96
1.31,"Premium","J","SI1",59.4,60,5446,7.06,7.12,4.21
1.09,"Ideal","G","VS1",60.5,57,7078,6.69,6.73,4.06
0.26,"Ideal","H","VS2",62.1,55,434,4.08,4.1,2.54
1.1,"Very Good","I","VS1",60.8,58.3,5196,6.63,6.68,4.04
0.51,"Good","H","VS2",61.8,65,1128,5.07,5.02,3.12
0.31,"Ideal","H","IF",61.3,56,789,4.39,4.42,2.7
0.34,"Ideal","G","IF",60.1,57,1014,4.54,4.58,2.74
0.38,"Ideal","G","VS1",62.4,54,759,4.63,4.67,2.9
0.57,"Ideal","E","VS2",60.8,56,1819,5.4,5.35,3.27
0.59,"Premium","E","SI1",58.7,57,1550,5.53,5.47,3.23
1.02,"Premium","H","I1",62.5,60,3199,6.41,6.39,4
0.3,"Ideal","E","SI1",61.7,58,499,4.29,4.3,2.65
0.9,"Very Good","I","VS2",62.1,61,3535,6.08,6.12,3.79
0.53,"Ideal","F","VVS2",61,57,2269,5.23,5.26,3.22
0.71,"Premium","E","SI2",61.4,59,2306,5.74,5.7,3.51
0.53,"Ideal","G","SI1",61.8,58,1255,5.16,5.19,3.2
0.34,"Premium","D","VS2",59.3,58,1033,4.55,4.52,2.69
0.34,"Premium","E","VS2",62.6,58,956,4.45,4.43,2.78
0.34,"Fair","F","VS2",64.7,55,816,4.52,4.41,2.89
0.7,"Premium","G","SI2",61.9,58,2268,5.64,5.6,3.48
1.17,"Fair","I","I1",64.5,59,2336,6.67,6.47,4.25
0.24,"Very Good","E","VS1",61.7,60,430,3.97,4,2.46
1.17,"Ideal","G","SI2",62.6,55,5743,6.74,6.78,4.23
0.7,"Premium","E","VS2",62.8,61,2737,5.66,5.62,3.54
1,"Premium","F","VVS1",61,60,9901,6.43,6.39,3.91
0.72,"Good","D","VS1",63.3,55,3570,5.69,5.75,3.62
1.01,"Premium","E","VS2",62.4,60,6488,6.39,6.43,4
0.3,"Premium","D","VS2",61.9,58,911,4.32,4.28,2.66
1.01,"Good","D","SI1",63.9,61,5147,6.31,6.28,4.02
1.02,"Ideal","D","VVS2",61,56,11765,6.52,6.55,3.99
0.51,"Very Good","D","VS2",62.5,58,1668,5.12,5.18,3.22
0.24,"Ideal","F","VVS2",62.1,56,678,3.96,3.99,2.46
0.37,"Ideal","F","VVS2",60.7,57,839,4.67,4.69,2.84
0.51,"Premium","E","VS2",61.6,58,1567,5.18,5.15,3.18
1.05,"Very Good","H","VS1",63.4,57,4969,6.48,6.45,4.1
1.5,"Very Good","I","VS2",63.3,55,9533,7.3,7.26,4.61
2.01,"Ideal","I","SI1",62.2,56,15116,8.12,8.06,5.03
0.32,"Premium","I","VS2",61.1,57,576,4.42,4.39,2.69
0.7,"Premium","F","SI1",61.9,58,2230,5.69,5.74,3.54
0.72,"Very Good","E","VS2",63,58,3065,5.69,5.73,3.6
1.13,"Ideal","H","SI1",62,57,4959,6.66,6.73,4.15
1.18,"Premium","G","VVS2",61.6,58,9137,6.77,6.8,4.18
0.56,"Premium","F","VS1",58.2,60,2016,5.41,5.38,3.14
1,"Premium","H","VS1",62.7,58,4732,6.37,6.33,3.98
0.3,"Premium","H","VS1",62.3,58,675,4.28,4.26,2.66
0.71,"Ideal","G","SI2",62.3,56,2266,5.68,5.72,3.55
0.35,"Very Good","H","SI1",61.3,55,504,4.55,4.58,2.8
0.47,"Ideal","E","SI2",61.5,55,931,4.98,5.04,3.08
0.43,"Ideal","G","IF",62.1,54,1433,4.83,4.87,3.01
0.51,"Premium","E","SI1",60.3,56,1443,5.27,5.17,3.15
0.55,"Ideal","E","VS2",60.3,57,1596,5.28,5.3,3.19
1.15,"Ideal","H","SI2",62,57,4830,6.75,6.66,4.16
1.23,"Ideal","E","SI2",62.1,55,7336,6.91,6.84,4.27
0.32,"Ideal","E","VVS2",61.2,56,816,4.39,4.43,2.7
0.51,"Premium","F","VS2",63,55,1574,5.1,5.06,3.2
0.34,"Premium","D","SI1",62.4,58,803,4.46,4.42,2.77
0.73,"Ideal","G","VVS1",61.3,56,3667,5.79,5.82,3.56
0.9,"Ideal","E","SI2",62.7,54,4091,6.13,6.21,3.87
2.16,"Premium","I","SI1",58.5,60,17934,8.54,8.49,4.98
0.8,"Very Good","H","SI1",62.3,59,2670,5.95,6,3.72
1.01,"Very Good","G","VS2",63.2,57,5701,6.35,6.3,4
0.41,"Ideal","D","SI2",62.7,55,876,4.75,4.72,2.97
0.32,"Ideal","D","SI1",62.6,55,589,4.36,4.39,2.74
0.31,"Ideal","D","VS2",61.6,55,804,4.4,4.37,2.7
0.7,"Very Good","H","SI1",62,60,2048,5.65,5.7,3.52
0.76,"Ideal","F","VVS2",60.9,57,3716,5.89,5.96,3.61
1.21,"Very Good","F","VS2",60.1,55,8711,6.91,7.01,4.18
0.56,"Ideal","G","VVS2",62.5,56,1889,5.24,5.28,3.29
0.56,"Premium","D","SI1",61.4,58,1723,5.29,5.33,3.26
0.73,"Very Good","E","VS1",60.9,61,3370,5.79,5.81,3.53
0.5,"Ideal","F","VVS2",59.9,58,2016,5.14,5.17,3.09
0.75,"Fair","J","VS1",61.9,67,1869,5.8,5.7,3.56
0.4,"Premium","E","SI2",61.4,57,855,4.74,4.68,2.89
0.5,"Ideal","D","VS2",62.4,55,1653,5.09,5.1,3.18
1.5,"Good","H","VS1",63.8,61,9878,7.17,7.12,4.56
0.71,"Premium","E","SI2",62.2,57,2386,5.74,5.68,3.55
1,"Premium","F","SI1",62.1,60,4234,6.29,6.23,3.88
0.33,"Very Good","G","VS1",61.6,57,621,4.42,4.51,2.75
0.8,"Very Good","F","SI2",61,60,2460,5.95,5.98,3.64
0.41,"Ideal","E","VS1",61.9,55,1079,4.76,4.8,2.96
0.51,"Ideal","E","SI1",61.2,57,1284,5.14,5.16,3.15
1.15,"Premium","G","SI1",62,58,4776,6.68,6.77,4.17
0.31,"Ideal","G","VVS2",62.7,57,907,4.34,4.31,2.71
2.04,"Good","J","VS2",59.6,56,13550,8.26,8.31,4.94
1,"Ideal","F","SI2",62.4,57,5798,6.37,6.42,3.99
0.92,"Ideal","G","SI1",62.6,56,4173,6.21,6.19,3.88
0.33,"Ideal","F","VS1",61.2,56,928,4.49,4.46,2.74
0.5,"Ideal","D","VS2",62.4,55,1635,5.1,5.13,3.19
0.52,"Ideal","D","VS1",60.4,56,2146,5.24,5.26,3.17
1.01,"Premium","G","VS2",58.1,59,5538,6.61,6.53,3.82
1.09,"Ideal","G","SI1",62.4,56,5496,6.57,6.61,4.11
1.02,"Ideal","F","SI1",60.3,60,5195,6.55,6.51,3.94
2.54,"Ideal","G","SI2",62.7,56,17339,8.75,8.67,5.46
0.33,"Premium","D","SI1",60.1,59,608,4.46,4.49,2.69
1.16,"Ideal","D","SI2",62.1,54,5898,6.79,6.74,4.2
0.41,"Premium","G","VS2",62.4,58,827,4.72,4.76,2.96
0.23,"Very Good","E","VVS2",61.8,58,530,3.92,3.94,2.43
0.3,"Premium","E","VS1",61.3,59,911,4.33,4.28,2.64
0.71,"Fair","D","VS1",65.4,59,2747,5.62,5.58,3.66
0.38,"Ideal","H","VS1",60.6,57,871,4.7,4.73,2.85
0.31,"Premium","E","VS2",61.3,60,680,4.32,4.39,2.67
0.36,"Ideal","D","VS2",61.3,55,928,4.58,4.62,2.82
2.03,"Very Good","E","SI2",58.8,59,18115,8.23,8.28,4.85
1.01,"Good","D","SI2",63.9,57,4672,6.36,6.29,4.04
0.31,"Premium","F","VS2",61.4,55,802,4.34,4.32,2.66
1.14,"Premium","F","SI1",59.6,58,5925,6.78,6.8,4.05
1.2,"Ideal","G","VVS1",62.2,57,9009,6.77,6.81,4.22
0.5,"Ideal","E","VVS2",62.2,54,2889,5.09,5.11,3.17
0.31,"Ideal","F","SI1",62.3,55,490,4.34,4.39,2.72
0.94,"Premium","G","SI2",63,59,3099,6.16,6.1,3.86
1.5,"Very Good","I","VS2",59.4,61,9342,7.41,7.45,4.41
0.57,"Ideal","F","VVS1",61.3,56,3343,5.4,5.37,3.3
0.92,"Very Good","E","VS1",61.3,57,5210,6.22,6.27,3.83
2,"Fair","E","SI1",65.7,60,15330,7.7,7.8,5.09
0.32,"Ideal","H","IF",61.8,55,814,4.42,4.45,2.74
0.34,"Ideal","H","VS2",60.4,57,555,4.54,4.57,2.75
1.01,"Very Good","G","VVS2",63.4,55,6968,6.41,6.34,4.04
0.64,"Ideal","E","VVS2",62.1,53,3157,5.51,5.54,3.43
1.02,"Ideal","F","VS2",62.7,54,6597,6.5,6.42,4.05
1.59,"Very Good","I","SI1",62.4,56,9925,7.46,7.48,4.66
0.58,"Very Good","F","SI1",62.6,57,1373,5.24,5.36,3.32
0.31,"Ideal","F","VVS1",61.4,55,1074,4.37,4.39,2.69
0.31,"Very Good","H","SI1",61.7,59,435,4.36,4.39,2.7
0.38,"Ideal","F","VS2",62.3,54,870,4.65,4.69,2.91
1.25,"Ideal","G","IF",60.2,54,11511,6.99,7.03,4.22
0.41,"Very Good","F","SI1",62.4,60,801,4.73,4.75,2.96
0.45,"Very Good","F","SI2",61.5,61,729,4.9,4.95,3.03
1.04,"Good","E","SI1",63.8,58,5766,6.46,6.39,4.1
0.57,"Very Good","J","SI1",60.6,61,1037,5.36,5.4,3.26
0.32,"Ideal","F","IF",62.2,55,1010,4.38,4.4,2.73
0.92,"Ideal","E","SI1",61.4,55,4183,6.29,6.25,3.85
0.56,"Ideal","D","VS1",61.1,56,2741,5.3,5.33,3.25
0.41,"Premium","G","VS2",62.4,58,1061,4.76,4.72,2.96
1.03,"Ideal","I","VS2",61.2,56,5378,6.5,6.51,3.98
1.7,"Premium","I","VS2",62.4,58,10910,7.61,7.56,4.73
0.32,"Ideal","F","VS1",61,54,716,4.42,4.44,2.7
0.53,"Very Good","J","VS2",62.7,56,996,5.15,5.18,3.24
1.21,"Premium","E","SI1",63,57,6261,6.75,6.7,4.24
0.31,"Good","E","SI1",63.6,57,544,4.28,4.3,2.73
0.3,"Very Good","D","VS1",63,56,645,4.27,4.33,2.71
0.23,"Very Good","D","VS1",61.9,58,402,3.92,3.96,2.44
0.91,"Premium","E","SI1",62.1,58,4256,6.18,6.15,3.83
1.2,"Ideal","J","SI2",59.1,62,4509,6.97,6.94,4.11
1.01,"Good","E","SI2",58.5,61,4506,6.51,6.55,3.82
1.53,"Premium","I","VS1",62.4,59,10924,7.34,7.3,4.57
1.03,"Ideal","J","SI1",62.3,56,3893,6.51,6.45,4.04
0.52,"Premium","E","VS2",62.5,60,1694,5.14,5.1,3.2
0.38,"Premium","E","VS1",60.7,59,1000,4.69,4.73,2.86
0.55,"Ideal","E","VS2",62.5,56,2030,5.26,5.23,3.28
1.02,"Very Good","E","VS2",60.6,61,6366,6.44,6.47,3.91
0.42,"Ideal","I","VVS1",60.2,57,884,4.85,4.88,2.93
1.13,"Very Good","I","SI1",61.5,60,4766,6.68,6.72,4.12
1.61,"Ideal","F","SI1",62.6,58,12085,7.44,7.48,4.67
0.32,"Premium","E","VS2",60.5,59,702,4.39,4.43,2.67
0.7,"Very Good","E","SI2",61.5,56,2298,5.71,5.73,3.52
0.92,"Good","F","SI2",64.2,58,3282,6.14,6.11,3.93
0.39,"Fair","E","SI1",65.6,60,601,4.5,4.56,2.97
1.57,"Premium","H","VS2",62.2,58,11415,7.45,7.4,4.62
1.5,"Fair","G","SI1",56.1,62,7300,7.6,7.52,4.24
1.01,"Premium","H","SI2",61.5,60,4242,6.4,6.34,3.92
2.01,"Premium","H","VS2",62.8,58,13342,7.99,7.9,4.99
0.24,"Very Good","E","VVS2",62.8,58,478,3.92,3.95,2.47
0.51,"Premium","E","VS1",62.3,56,1837,5.14,5.13,3.2
0.72,"Premium","D","SI1",62.6,54,3048,5.78,5.72,3.6
1.05,"Ideal","H","SI1",60.8,56,5704,6.62,6.58,4.01
0.52,"Ideal","G","VVS2",62.7,55,1906,5.12,5.15,3.22
1.61,"Ideal","I","SI1",62.7,55,9611,7.54,7.48,4.71
1.11,"Very Good","E","SI2",60,61,4170,6.66,6.71,4.01
0.34,"Very Good","G","VVS2",62.3,59,740,4.45,4.48,2.78
1.78,"Very Good","F","SI1",60.6,57,13659,7.89,7.94,4.8
0.66,"Very Good","H","VVS1",61.9,59,2323,5.59,5.65,3.48
1.2,"Ideal","G","VVS2",62.2,56,9373,6.76,6.81,4.22
2,"Good","J","VS2",61.4,63,13542,8.01,8.08,4.94
0.3,"Premium","E","VS2",62,60,844,4.26,4.23,2.63
0.53,"Ideal","G","VS1",62.6,54,1813,5.19,5.16,3.24
2.04,"Premium","I","SI2",60.2,59,15543,8.28,8.22,4.97
0.32,"Ideal","I","VVS1",62.4,55,756,4.38,4.34,2.72
1.25,"Ideal","F","VS1",62,55,9586,6.91,6.95,4.3
0.32,"Very Good","H","VS1",63,55,561,4.4,4.42,2.78
0.32,"Ideal","E","VS2",61.9,56,702,4.36,4.4,2.71
0.71,"Good","I","VS1",61.5,64,2327,5.76,5.65,3.51
0.31,"Premium","G","VVS1",59.9,62,1046,4.37,4.35,2.61
0.3,"Ideal","H","VVS1",62.2,56,665,4.28,4.3,2.67
0.51,"Ideal","E","SI1",61.7,55,1443,5.17,5.13,3.18
0.84,"Ideal","J","SI1",61.8,56,2493,6.04,6.07,3.74
1.01,"Premium","E","VS2",60.8,60,6606,6.46,6.43,3.92
0.41,"Very Good","E","SI2",63.2,58,818,4.72,4.68,2.97
1.7,"Ideal","I","VS2",61.7,56,11257,7.64,7.72,4.74
0.33,"Ideal","F","IF",61.5,55,1114,4.47,4.44,2.74
1.19,"Ideal","H","SI2",61.7,56,4798,6.83,6.78,4.2
0.32,"Premium","G","VVS2",62.6,58,936,4.37,4.35,2.73
0.3,"Ideal","G","VS1",60.6,57,624,4.38,4.4,2.66
0.53,"Very Good","E","SI1",63,55,1408,5.14,5.18,3.25
0.6,"Premium","E","SI1",61.9,58,1738,5.39,5.43,3.35
2.03,"Ideal","I","SI2",60,57,13182,8.32,8.2,4.96
0.55,"Ideal","G","VS1",61.6,55,1786,5.29,5.32,3.27
0.74,"Very Good","F","VVS2",61.5,55.1,3948,5.82,5.85,3.59
1.02,"Good","D","SI1",56.9,62,4948,6.64,6.69,3.79
0.63,"Ideal","E","VS1",61.9,55,2565,5.46,5.5,3.4
0.5,"Good","F","SI1",64.3,57,975,5.03,4.94,3.21
0.9,"Very Good","F","SI2",61.6,56,3601,6.22,6.29,3.85
0.31,"Ideal","D","SI1",61.8,56,571,4.34,4.37,2.69
0.72,"Ideal","F","VS1",62,56,2879,5.76,5.73,3.56
1,"Fair","F","SI1",56.5,60,4679,6.62,6.66,3.75
1,"Ideal","F","VVS2",61.5,55,7849,6.46,6.41,3.96
1.51,"Ideal","J","VS1",61.3,61,8298,7.34,7.4,4.52
2.02,"Premium","H","VS2",62.7,53,18207,8.02,7.95,0
0.3,"Ideal","E","VS2",61.4,56,621,4.33,4.36,2.67
1.5,"Very Good","E","SI1",61.9,59,11717,7.26,7.32,4.51
0.25,"Very Good","G","VVS1",63.7,54,451,3.98,4.03,2.55
0.91,"Very Good","I","VS2",63,58,3340,6.07,6.15,3.85
0.41,"Very Good","D","SI1",63,57,717,4.64,4.7,2.94
0.31,"Very Good","F","VS2",63.4,56,802,4.32,4.29,2.73
0.31,"Ideal","D","VS1",61.8,55,877,4.36,4.34,2.69
1.5,"Premium","G","VS1",61.2,59,14105,7.32,7.36,4.49
0.5,"Ideal","E","VVS2",61.5,57,2236,5.09,5.12,3.14
1.56,"Very Good","I","VS1",62.7,58,9857,7.42,7.37,4.64
0.34,"Ideal","E","SI1",62.1,55,765,4.51,4.47,2.79
0.23,"Ideal","G","VVS1",61.9,58,536,3.93,3.96,2.44
0.55,"Ideal","F","VS2",61.7,56,1709,5.25,5.31,3.26
1.63,"Premium","I","SI1",62,54,9256,7.67,7.6,4.73
0.3,"Premium","F","VS2",61.5,60,776,4.29,4.26,2.63
2.02,"Good","F","SI2",57.1,60,12615,8.31,8.25,4.73
1,"Fair","D","SI1",65.9,54,4704,6.24,6.2,4.1
0.41,"Ideal","F","VVS1",61.8,57,1356,4.79,4.75,2.95
0.59,"Very Good","D","SI1",62.8,57,1743,5.32,5.38,3.36
0.31,"Good","D","SI2",63.9,57,462,4.28,4.33,2.75
1.62,"Premium","F","VS2",61.1,60,14961,7.57,7.56,4.62
0.61,"Very Good","G","VS2",62,57,1861,5.44,5.47,3.38
1.02,"Very Good","F","SI1",63.1,55,5058,6.45,6.38,4.05
0.41,"Ideal","D","VVS2",62.3,55,1356,4.77,4.76,2.97
1.02,"Good","H","SI2",63.7,58,3884,6.28,6.24,3.99
0.73,"Very Good","J","VS2",62.7,57,2101,5.71,5.74,3.59
1.01,"Very Good","F","SI1",61,57,5174,6.44,6.54,3.96
0.51,"Good","E","VVS2",62,60.5,1980,5.05,5.08,3.15
0.76,"Very Good","F","VVS2",62.9,58,3640,5.76,5.85,3.65
0.41,"Very Good","E","SI2",62.8,58,638,4.69,4.73,2.96
0.53,"Premium","F","I1",61.3,58,886,5.22,5.18,3.19
2.02,"Premium","F","SI2",61.3,59,18274,8.15,8.11,4.98
1.53,"Premium","G","VS1",61,60,14344,7.43,7.4,4.52
0.35,"Very Good","E","VS1",62.3,60,829,4.5,4.52,2.81
0.51,"Ideal","G","VVS2",61.6,56,1842,5.14,5.12,3.16
0.57,"Premium","E","SI1",62.2,55,1590,5.36,5.31,3.32
0.7,"Very Good","D","SI1",63.5,58,2686,5.61,5.64,3.57
0.3,"Ideal","E","VS2",61.5,55,844,4.4,4.32,2.68
